id,category_id,name,base_price,image_url,is_active,created_at,,
1,1,??????,10,/assets/rm01.jpg,1,3/10/2026 17:40,,
2,1,??????,14,/assets/rm02.jpg,1,3/10/2026 17:40,,
3,1,??????,13,/assets/rm03.jpg,1,3/10/2026 17:40,,
4,2,??????,12,/assets/zp01.jpg,1,3/10/2026 17:40,,
5,2,??????,12,/assets/zp02.jpg,1,3/10/2026 17:40,,
6,2,???????,14,/assets/zp03.jpg,1,3/10/2026 17:40,,
7,3,??????,16,/assets/sg01.jpg,1,3/10/2026 17:40,,
8,3,??????,14,/assets/sg02.jpg,1,3/10/2026 17:40,,
9,3,?????,11,/assets/sg03.jpg,1,3/10/2026 17:40,,
10,3,??????,14,/assets/sg04.jpg,1,3/10/2026 17:40,,
11,3,???????,12,/assets/sg05.jpg,1,3/10/2026 17:40,,
12,3,??????,11,/assets/sg06.jpg,1,3/10/2026 17:40,,
13,3,???????,14,/assets/sg07.jpg,1,3/10/2026 17:40,,
14,3,??????,14,/assets/sg08.jpg,1,3/10/2026 17:40,,
15,4,????,9,/assets/cx01.jpg,1,3/10/2026 17:40,,
16,4,??????,11,/assets/cx02.jpg,1,3/10/2026 17:40,,
17,4,??????,12,/assets/cx03.jpg,1,3/10/2026 17:40,,
18,5,??????,16,/assets/sn01.jpg,1,3/10/2026 17:40,,
19,5,??????,18,/assets/sn02.jpg,1,3/10/2026 17:40,,
20,5,??????,13,/assets/sn03.jpg,1,3/10/2026 17:40,,
21,5,??????,18,/assets/sn04.jpg,1,3/10/2026 17:40,,
22,5,???????,21,/assets/sn05.jpg,1,3/10/2026 17:40,,
23,5,??????,25,/assets/sn06.jpg,1,3/10/2026 17:40,,
24,5,?????,16,/assets/sn07.jpg,1,3/10/2026 17:40,,
25,5,???????,18,/assets/sn08.jpg,1,3/10/2026 17:40,,
26,6,??????,15,/assets/xr01.jpg,1,3/10/2026 17:40,,
27,6,?????,14,/assets/xr02.jpg,1,3/10/2026 17:40,,
28,6,??????,12,/assets/xr03.jpg,1,3/10/2026 17:40,,
29,6,???????,14,/assets/xr04.jpg,1,3/10/2026 17:40,,
30,6,??????,12,/assets/xr05.jpg,1,3/10/2026 17:40,,
31,6,?????,16,/assets/xr06.jpg,1,3/10/2026 17:40,,
32,6,??????,12,/assets/xr07.jpg,1,3/10/2026 17:40,,
33,6,??????,14,/assets/xr08.jpg,1,3/10/2026 17:40,,
34,7,???????,10,/assets/jk01.jpg,1,3/10/2026 17:40,,
35,7,??????,12,/assets/jk02.jpg,1,3/10/2026 17:40,,
36,7,??????,8,/assets/jk03.jpg,1,3/10/2026 17:40,,
37,7,??????,6,/assets/jk04.jpg,1,3/10/2026 17:40,,
38,7,????????,12,/assets/jk05.jpg,1,3/10/2026 17:40,,
39,7,????????,9,/assets/jk06.jpg,1,3/10/2026 17:40,,
40,7,??????,14,/assets/jk07.jpg,1,3/10/2026 17:40,,
41,8,???,13,/assets/xc01.jpg,1,3/10/2026 17:40,,
42,8,???,6,/assets/xc02.jpg,1,3/10/2026 17:40,,
43,8,??,5,/assets/xc03.jpg,1,3/10/2026 17:40,,
44,8,??,8,/assets/xc09.jpg,1,3/10/2026 17:40,,
45,8,????,13,/assets/xc10.jpg,1,3/10/2026 17:40,,
46,8,???,8,/assets/xc11.jpg,1,3/10/2026 17:40,,
47,8,?????????,14,/assets/xc04.jpg,1,3/10/2026 17:40,,
48,8,?????????,14,/assets/xc05.jpg,1,3/10/2026 17:40,,
49,8,?????????,14,/assets/xc06.jpg,1,3/10/2026 17:40,,
50,8,??????????,14,/assets/xc07.jpg,1,3/10/2026 17:40,,
51,8,??????????,14,/assets/xc08.jpg,1,3/10/2026 17:40,,
52,8,?????????,9,/assets/xc12.jpg,1,3/10/2026 17:40,,
53,8,??????????,9,/assets/xc13.jpg,1,3/10/2026 17:40,,
54,8,?????????,9,/assets/xc14.jpg,1,3/10/2026 17:40,,
55,8,?????????,9,/assets/xc15.jpg,1,3/10/2026 17:40,,
56,8,??????????,9,/assets/xc16.jpg,1,3/10/2026 17:40,,
57,8,?????????,9,/assets/xc17.jpg,1,3/10/2026 17:40,,
