id,category_name,name,base_price,image_url,is_active
1,热销,黑糖珍珠奶茶,10.0,/assets/rm01.jpg,1
2,热销,芝士奶盖抹茶,14.0,/assets/rm02.jpg,1
3,热销,焦糖布丁奶茶,13.0,/assets/rm03.jpg,1
4,招牌人气,金凤乌龙奶茶,12.0,/assets/zp01.jpg,1
5,招牌人气,多多绿茶奶茶,12.0,/assets/zp02.jpg,1
6,招牌人气,奥利奥脆脆奶茶,14.0,/assets/zp03.jpg,1
7,水果茶,杨枝甘露奶茶,16.0,/assets/sg01.jpg,1
8,水果茶,草莓芝士奶盖,14.0,/assets/sg02.jpg,1
9,水果茶,百香果绿茶,11.0,/assets/sg03.jpg,1
10,水果茶,芒果爆柠奶茶,14.0,/assets/sg04.jpg,1
11,水果茶,奇异果百香奶茶,12.0,/assets/sg05.jpg,1
12,水果茶,橙香茉莉奶茶,11.0,/assets/sg06.jpg,1
13,水果茶,火龙果椰香奶茶,14.0,/assets/sg07.jpg,1
14,水果茶,柚子蜂蜜奶茶,14.0,/assets/sg08.jpg,1
15,创新,燕麦奶茶,9.0,/assets/cx01.jpg,1
16,创新,椰椰生椰拿铁,11.0,/assets/cx02.jpg,1
17,创新,紫薯珍珠奶茶,12.0,/assets/cx03.jpg,1
18,少女系,玫瑰荔枝奶茶,16.0,/assets/sn01.jpg,1
19,少女系,樱花草莓奶茶,18.0,/assets/sn02.jpg,1
20,少女系,蓝莓优格奶茶,13.0,/assets/sn03.jpg,1
21,少女系,双拼渐变奶茶,18.0,/assets/sn04.jpg,1
22,少女系,樱花芝士奶盖茶,21.0,/assets/sn05.jpg,1
23,少女系,梦幻彩虹奶茶,25.0,/assets/sn06.jpg,1
24,少女系,薰衣草奶茶,16.0,/assets/sn07.jpg,1
25,少女系,红丝绒可可奶茶,18.0,/assets/sn08.jpg,1
26,夏日,椰果青柠奶茶,15.0,/assets/xr01.jpg,1
27,夏日,西瓜冰奶茶,14.0,/assets/xr02.jpg,1
28,夏日,蜂蜜柠檬奶茶,12.0,/assets/xr03.jpg,1
29,夏日,冰镇哈密瓜奶茶,14.0,/assets/xr04.jpg,1
30,夏日,薄荷青柠奶茶,12.0,/assets/xr05.jpg,1
31,夏日,蓝柑冰奶茶,16.0,/assets/xr06.jpg,1
32,夏日,冰冻葡萄奶茶,12.0,/assets/xr07.jpg,1
33,夏日,菠萝椰香奶茶,14.0,/assets/xr08.jpg,1
34,健康轻饮,豆乳黑芝麻奶茶,10.0,/assets/jk01.jpg,1
35,健康轻饮,低脂抹茶拿铁,12.0,/assets/jk02.jpg,1
36,健康轻饮,燕麦红枣奶茶,8.0,/assets/jk03.jpg,1
37,健康轻饮,豆乳燕麦奶茶,6.0,/assets/jk04.jpg,1
38,健康轻饮,黑豆芝麻豆浆奶茶,12.0,/assets/jk05.jpg,1
39,健康轻饮,蜂蜜柠檬普洱奶茶,9.0,/assets/jk06.jpg,1
40,健康轻饮,无糖生椰抹茶,14.0,/assets/jk07.jpg,1
41,小吃及甜品,炸鸡块,13.0,/assets/xc01.jpg,1
42,小吃及甜品,鸡米花,6.0,/assets/xc02.jpg,1
43,小吃及甜品,薯条,5.0,/assets/xc03.jpg,1
44,小吃及甜品,曲奇,8.0,/assets/xc09.jpg,1
45,小吃及甜品,芝士蛋糕,13.0,/assets/xc10.jpg,1
46,小吃及甜品,麻薯球,8.0,/assets/xc11.jpg,1
47,小吃及甜品,小蛋糕（樱花龙眼）,14.0,/assets/xc04.jpg,1
48,小吃及甜品,小蛋糕（抹茶红豆）,14.0,/assets/xc05.jpg,1
49,小吃及甜品,小蛋糕（蓝莓酸奶）,14.0,/assets/xc06.jpg,1
50,小吃及甜品,小蛋糕（芒果百香果）,14.0,/assets/xc07.jpg,1
51,小吃及甜品,小蛋糕（草莓巧克力）,14.0,/assets/xc08.jpg,1
52,小吃及甜品,甜甜圈（椰子椰奶）,9.0,/assets/xc12.jpg,1
53,小吃及甜品,甜甜圈（草莓巧克力）,9.0,/assets/xc13.jpg,1
54,小吃及甜品,甜甜圈（草莓樱花）,9.0,/assets/xc14.jpg,1
55,小吃及甜品,甜甜圈（草莓椰奶）,9.0,/assets/xc15.jpg,1
56,小吃及甜品,甜甜圈（巧克力果仁）,9.0,/assets/xc16.jpg,1
57,小吃及甜品,甜甜圈（草莓椰子）,9.0,/assets/xc17.jpg,1
